date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner
2024-03-15,2023/24,"National Stadium, Karachi",Islamabad United,Quetta Gladiators,Islamabad United,bat,Islamabad United,Islamabad United
2024-03-16,2023/24,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United,Islamabad United,field,Peshawar Zalmi,Islamabad United
2024-03-18,2023/24,"National Stadium, Karachi",Multan Sultans,Islamabad United,Multan Sultans,bat,Multan Sultans,Islamabad United
2025-04-11,2025,Rawalpindi Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United
2025-04-12,2025,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2025-04-12,2025,"National Stadium, Karachi",Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,Karachi Kings
2025-04-13,2025,Rawalpindi Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars
2025-04-14,2025,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,bat,Islamabad United,Islamabad United
2025-04-15,2025,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings,Lahore Qalandars,bat,Lahore Qalandars,Lahore Qalandars
2025-04-16,2025,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Islamabad United
2025-04-18,2025,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Karachi Kings,Karachi Kings
2025-04-19,2025,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2025-04-20,2025,"National Stadium, Karachi",Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2025-04-21,2025,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Karachi Kings
2025-04-22,2025,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars,Multan Sultans,bat,Multan Sultans,Multan Sultans
2025-04-23,2025,Multan Cricket Stadium,Multan Sultans,Islamabad United,Multan Sultans,bat,Multan Sultans,Islamabad United
2025-04-24,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2025-04-25,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,Karachi Kings,Karachi Kings,field,Quetta Gladiators,Quetta Gladiators
2025-04-26,2025,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,Lahore Qalandars,field,Multan Sultans,Lahore Qalandars
2025-04-27,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2025-04-29,2025,"Gaddafi Stadium, Lahore",Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Multan Sultans,Quetta Gladiators
2025-04-30,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Lahore Qalandars
2025-05-01,2025,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans,Karachi Kings,bat,Karachi Kings,Karachi Kings
2025-05-02,2025,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi,Islamabad United,bat,Islamabad United,Peshawar Zalmi
2025-05-03,2025,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators
2025-05-04,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2025-05-05,2025,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi,Multan Sultans,bat,Multan Sultans,Peshawar Zalmi
2025-05-07,2025,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United,Islamabad United,field,Quetta Gladiators,Quetta Gladiators
2025-05-17,2025,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings
2025-05-18,2025,Rawalpindi Cricket Stadium,Multan Sultans,Quetta Gladiators,Multan Sultans,bat,Multan Sultans,Quetta Gladiators
2025-05-18,2025,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Lahore Qalandars
2025-05-19,2025,Rawalpindi Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Islamabad United
2025-05-21,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United,Quetta Gladiators,bat,Quetta Gladiators,Quetta Gladiators
2025-05-22,2025,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars,Karachi Kings,bat,Karachi Kings,Lahore Qalandars
2025-05-23,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United,Lahore Qalandars,bat,Lahore Qalandars,Lahore Qalandars
2025-05-25,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,bat,Quetta Gladiators,Lahore Qalandars
2026-03-26,2026,"Gaddafi Stadium, Lahore",Lahore Qalandars,Hyderabad Kingsmen,Lahore Qalandars,bat,Lahore Qalandars,Lahore Qalandars
2026-03-27,2026,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Karachi Kings
2026-03-28,2026,"Gaddafi Stadium, Lahore",Rawalpindiz,Peshawar Zalmi,Rawalpindiz,bat,Rawalpindiz,Peshawar Zalmi
2026-03-28,2026,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,Multan Sultans
2026-03-29,2026,"Gaddafi Stadium, Lahore",Quetta Gladiators,Hyderabad Kingsmen,Quetta Gladiators,bat,Quetta Gladiators,Quetta Gladiators
2026-03-29,2026,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings,Lahore Qalandars,bat,Lahore Qalandars,Karachi Kings
2026-04-01,2026,"Gaddafi Stadium, Lahore",Hyderabad Kingsmen,Multan Sultans,Hyderabad Kingsmen,bat,Hyderabad Kingsmen,Multan Sultans
2026-04-02,2026,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United,Quetta Gladiators,bat,Quetta Gladiators,Islamabad United
2026-04-02,2026,"Gaddafi Stadium, Lahore",Rawalpindiz,Karachi Kings,Karachi Kings,field,Rawalpindiz,Karachi Kings
2026-04-03,2026,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Lahore Qalandars,Lahore Qalandars
2026-04-04,2026,"Gaddafi Stadium, Lahore",Rawalpindiz,Islamabad United,Islamabad United,field,Rawalpindiz,Islamabad United
2026-04-05,2026,"Gaddafi Stadium, Lahore",Quetta Gladiators,Multan Sultans,Multan Sultans,field,Quetta Gladiators,Multan Sultans
2026-04-06,2026,"Gaddafi Stadium, Lahore",Rawalpindiz,Multan Sultans,Multan Sultans,field,Rawalpindiz,Multan Sultans
2026-04-08,2026,"National Stadium, Karachi",Hyderabad Kingsmen,Peshawar Zalmi,Peshawar Zalmi,field,Hyderabad Kingsmen,Peshawar Zalmi
2026-04-09,2026,"National Stadium, Karachi",Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United
2026-04-09,2026,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
2026-04-10,2026,"National Stadium, Karachi",Quetta Gladiators,Rawalpindiz,Rawalpindiz,field,Quetta Gladiators,Quetta Gladiators
2026-04-11,2026,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,field,Peshawar Zalmi,Peshawar Zalmi
2026-04-11,2026,"National Stadium, Karachi",Karachi Kings,Hyderabad Kingsmen,Hyderabad Kingsmen,field,Karachi Kings,Hyderabad Kingsmen
2026-04-12,2026,"National Stadium, Karachi",Islamabad United,Hyderabad Kingsmen,Hyderabad Kingsmen,field,Islamabad United,Hyderabad Kingsmen
2026-04-13,2026,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans,Multan Sultans,field,Peshawar Zalmi,Peshawar Zalmi
2026-04-15,2026,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2026-04-16,2026,"National Stadium, Karachi",Rawalpindiz,Hyderabad Kingsmen,Hyderabad Kingsmen,field,Rawalpindiz,Hyderabad Kingsmen
2026-04-16,2026,"National Stadium, Karachi",Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Islamabad United
2026-04-17,2026,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,bat,Lahore Qalandars,Quetta Gladiators
2026-04-18,2026,"National Stadium, Karachi",Lahore Qalandars,Rawalpindiz,Lahore Qalandars,bat,Lahore Qalandars,Lahore Qalandars
2026-04-19,2026,"National Stadium, Karachi",Multan Sultans,Karachi Kings,Karachi Kings,field,Multan Sultans,Multan Sultans
2026-04-19,2026,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Peshawar Zalmi
2026-04-21,2026,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,bat,Lahore Qalandars,Lahore Qalandars
2026-04-21,2026,"National Stadium, Karachi",Rawalpindiz,Multan Sultans,Rawalpindiz,bat,Rawalpindiz,Multan Sultans
2026-04-22,2026,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi,Karachi Kings,bat,Karachi Kings,Peshawar Zalmi
2026-04-22,2026,"National Stadium, Karachi",Multan Sultans,Hyderabad Kingsmen,Hyderabad Kingsmen,field,Multan Sultans,Hyderabad Kingsmen
2026-04-23,2026,"National Stadium, Karachi",Islamabad United,Rawalpindiz,Rawalpindiz,field,Islamabad United,Rawalpindiz
